Date,Merchant,Value,Account
03/01/2026,WAITROSE 220,44.10,Everyday
05/01/2026,CAFE NERO,3.75,Everyday
09/01/2026,TEXACO 90,52.00,Everyday
12/01/2026,SPOTIFY,11.99,Everyday
15/01/2026,BRITISH GAS,74.00,Everyday
02/02/2026,WAITROSE 220,51.80,Everyday
06/02/2026,CAFE NERO,3.75,Everyday
12/02/2026,SPOTIFY,11.99,Everyday
16/02/2026,BRITISH GAS,68.40,Everyday
03/03/2026,WAITROSE 220,39.95,Everyday
07/03/2026,CAFE NERO,4.10,Everyday
12/03/2026,SPOTIFY,11.99,Everyday
17/03/2026,BRITISH GAS,61.20,Everyday
