Transaction Date,Posting Date,Description,Amount,Account,Reference
2026-01-03,2026-01-05,TESCO STORES 3241,-52.40,Current,T1001
2026-01-04,2026-01-04,Transfer to savings,-300.00,Current,T1002
2026-01-04,2026-01-04,Transfer to savings,-300.00,Current,T1003
2026-01-06,2026-01-07,PRET A MANGER,-4.85,Current,T1004
2026-01-08,2026-01-09,SHELL 4417,-61.20,Current,T1005
2026-01-09,2026-01-10,NETFLIX.COM,-10.99,Current,T1006
2026-01-11,2026-01-12,TFL TRAVEL,-32.10,Current,T1007
2026-01-14,2026-01-15,BOOTS 1188,-8.60,Current,T1008
2026-01-16,2026-01-17,TESCO STORES 3241,-52.40,Current,T1009
2026-01-16,2026-01-17,TESCO STORES 3241,-52.40,Current,T1010
2026-01-20,2026-01-21,SHELL ENERGY,-88.00,Current,T1011
2026-01-25,2026-01-26,ACME LTD SALARY,2400.00,Current,T1012
2026-01-28,2026-01-29,RENT LANDLORD,-950.00,Current,T1013
2026-01-30,2026-02-02,MOONLIGHT RECORDS,-24.00,Current,T1014
2026-02-02,2026-02-03,SAINSBURYS 0912,-47.15,Current,T1015
2026-02-03,2026-02-03,Transfer to savings,-300.00,Current,T1016
2026-02-05,2026-02-06,COSTA COFFEE,-3.40,Current,T1017
2026-02-07,2026-02-08,BOOTS 1188,8.60,Current,T1018
2026-02-09,2026-02-10,NETFLIX.COM,-10.99,Current,T1019
2026-02-11,2026-02-12,TRAINLINE,-64.50,Current,T1020
2026-02-14,2026-02-16,BP CONNECT,-58.90,Current,T1021
2026-02-18,2026-02-19,ALDI 2201,-38.75,Current,T1022
2026-02-20,2026-02-21,SHELL ENERGY,-91.00,Current,T1023
2026-02-25,2026-02-26,ACME LTD SALARY,2400.00,Current,T1024
2026-02-26,2026-02-27,RENT LANDLORD,-950.00,Current,T1025
2026-03-01,2026-03-02,GREGGS 447,-3.20,Current,T1026
2026-03-03,2026-03-03,Transfer to savings,-300.00,Current,T1027
2026-03-04,2026-03-05,TESCO STORES 3241,-61.05,Current,T1028
2026-03-06,2026-03-07,PATREON MEMBERSHIP,-6.00,Current,T1029
2026-03-09,2026-03-10,NETFLIX.COM,-10.99,Current,T1030
2026-03-12,2026-03-13,UBER TRIP,-14.30,Current,T1031
2026-03-15,2026-03-16,LIDL 3390,-41.60,Current,T1032
2026-03-19,2026-03-20,ESSO 8812,-55.00,Current,T1033
2026-03-22,2026-03-23,SHELL ENERGY,-79.50,Current,T1034
2026-03-25,2026-03-26,ACME LTD SALARY,2400.00,Current,T1035
2026-03-28,2026-03-29,RENT LANDLORD,-950.00,Current,T1036
2026-03-31,2026-04-02,PRET A MANGER,-5.20,Current,T1037
